Epoch,Train Loss,Valid Loss,Train Accuracy,Valid Accuracy
1,2.7373643450092056,2.464566889093883,0.06873614190687362,0.05472636815920398
2,2.1547599745431127,1.9381704970971863,0.1696230598669623,0.23880597014925373
3,1.704972560284143,1.527512358788827,0.3353658536585366,0.4527363184079602
4,1.502638507576581,1.65731723628827,0.389689578713969,0.40298507462686567
5,1.3587773624650654,1.1158259241142083,0.4212860310421286,0.5024875621890548
6,1.1130094447579986,1.230528377181855,0.49889135254988914,0.34328358208955223
7,1.0301227088513765,1.0598229383354756,0.5077605321507761,0.5373134328358209
8,1.0514812170798393,0.9035467039886399,0.5105321507760532,0.5920398009950248
9,0.8439336142888884,0.8056298897634098,0.5986696230598669,0.6169154228855721
10,0.7594688171293678,0.6995649577966377,0.6380266075388027,0.6716417910447762
11,0.7664115156672746,0.7486167917797222,0.6241685144124168,0.6368159203980099
12,0.6387210538540605,0.633980783657055,0.6851441241685144,0.6169154228855721
13,0.6043396282883282,0.8261953212728548,0.6934589800443459,0.7562189054726368
14,0.5206550329328905,0.8642532776540784,0.7400221729490022,0.6716417910447762
15,0.4996692530992555,0.5001305716844341,0.7472283813747228,0.7412935323383084
16,0.46200753883882,0.4788348065383399,0.791019955654102,0.7661691542288557
17,0.3584478578123444,0.5083761679295876,0.8215077605321508,0.8009950248756219
18,0.41868617595431545,0.651245417583048,0.7971175166297118,0.8507462686567164
19,0.38804996059897734,0.4943891747377405,0.8082039911308204,0.7711442786069652
20,0.332603019119102,0.52792902535467,0.8381374722838137,0.7860696517412935
21,0.2997816601507944,0.47574042740152844,0.8414634146341463,0.7512437810945274
22,0.35040058978645344,0.5992476373762634,0.8087583148558758,0.8258706467661692
23,0.30108938447123357,0.37964773711873523,0.852549889135255,0.7960199004975125
24,0.22930304646624167,0.5288126280355216,0.885809312638581,0.845771144278607
25,0.16814156887668727,0.44826544131805646,0.9007760532150776,0.8905472636815921
26,0.22402334702252813,0.6207959533330814,0.8863636363636364,0.8557213930348259
27,0.2908902729958494,0.41044982526432816,0.8758314855875832,0.8159203980099502
28,0.19836017168942682,0.48461066608998316,0.9046563192904656,0.7960199004975125
29,0.3206825538511551,0.7873254806841191,0.864190687361419,0.7412935323383084
30,0.24020328463577642,0.33499007142005277,0.893569844789357,0.8805970149253731
31,0.14520259621138054,0.3113598509214411,0.9257206208425721,0.8756218905472637
32,0.12376696968290071,0.3174918497083199,0.938470066518847,0.9104477611940298
33,0.11113326327499423,0.2951476308540325,0.9390243902439024,0.9253731343283582
34,0.10195039305216458,0.27891343179626843,0.9456762749445676,0.9303482587064676
35,0.10614748028191653,0.3117741737792741,0.9490022172949002,0.9154228855721394
36,0.08085334223350242,0.3187025714276442,0.9578713968957872,0.9303482587064676
37,0.07739851493264513,0.3084067812013389,0.9595343680709535,0.9154228855721394
38,0.08389751588359905,0.30101356444074145,0.9628603104212861,0.9203980099502488
39,0.07252258944537845,0.33382294338140917,0.9573170731707317,0.9353233830845771
40,0.054619681222277575,0.3122902743851961,0.9711751662971175,0.9104477611940298
41,0.04929545237589834,0.30924103331210007,0.975609756097561,0.9054726368159204
42,0.04966204511848363,0.29448787905090484,0.9745011086474501,0.9253731343283582
43,0.05386288345950406,0.295909977226115,0.9684035476718403,0.9303482587064676
44,0.05253327459493392,0.2979377158245637,0.970620842572062,0.9203980099502488
45,0.05759573612205205,0.28829224681972865,0.9717294900221729,0.9154228855721394
46,0.047703190382462644,0.29567651087371866,0.9750554323725056,0.9303482587064676
47,0.042545038545937865,0.3025335395217535,0.9783813747228381,0.9203980099502488
48,0.05430245302006305,0.295086961777056,0.9717294900221729,0.9203980099502488
49,0.052378182615382705,0.3002942607770512,0.9750554323725056,0.9303482587064676
50,0.04747746729533583,0.2900116078889192,0.9811529933481153,0.9303482587064676
51,0.060608565179577426,0.2883659780618563,0.9684035476718403,0.9253731343283582
52,0.05208454950157132,0.29598518835371407,0.9728381374722838,0.9303482587064676
53,0.04842793332730851,0.29858500981212255,0.975609756097561,0.9253731343283582
54,0.04577392104294506,0.2945893991052808,0.9750554323725056,0.9203980099502488
55,0.04759730562204268,0.28654720534139605,0.9767184035476718,0.9303482587064676
56,0.05152944380421596,0.30137919756903575,0.970620842572062,0.9253731343283582
57,0.04090710251102691,0.28787192939525813,0.9783813747228381,0.9303482587064676
58,0.055793968130506064,0.289292745180984,0.9745011086474501,0.9253731343283582
59,0.05063827217715543,0.2953770879785813,0.9728381374722838,0.9303482587064676
60,0.054922615336935696,0.30083851612622464,0.9750554323725056,0.9203980099502488
61,0.05132626028454753,0.31335087765508624,0.9733924611973392,0.9203980099502488
62,0.04467850712080488,0.3185891153207466,0.9789356984478935,0.9203980099502488
63,0.05169533986903876,0.2941342500311818,0.9750554323725056,0.9253731343283582
64,0.044782037332554876,0.3065756778811934,0.9805986696230599,0.9303482587064676
